iso3,country_name,region,population,prevalence_per_1k,estimated_number,vulnerability_total,govt_response_total
TLS,Timor-Leste,Asia and the Pacific,1318000,6.050777912139893,8000.0,51.16248236688981,34.61538314819336
TGO,Togo,Africa,8279000,3.349859714508057,28000.0,56.53166083649204,33.33333206176758
TTO,Trinidad and Tobago,Americas,1399000,4.73182487487793,7000.0,37.66678509053699,48.71794891357422
TUN,Tunisia,Africa,11819000,2.316662788391113,27000.0,47.91602792905335,47.43589782714844
TUR,Türkiye,Europe and Central Asia,84339000,15.64948081970215,1320000.0,50.72086366880331,48.71794891357422
TKM,Turkmenistan,Europe and Central Asia,6031000,11.87536239624023,72000.0,47.1986831059657,25.64102554321289
UGA,Uganda,Africa,45741000,4.151514053344727,190000.0,61.91963896078666,46.15384674072266
UKR,Ukraine,Europe and Central Asia,43734000,12.79318714141846,559000.0,47.6678485055043,51.28205108642578
ARE,United Arab Emirates,Arab States,9890000,13.36672792369608,132000.0,39.53565547634503,50.0
GBR,United Kingdom,Europe and Central Asia,67886000,1.803719639778137,122000.0,14.32478349931668,67.94871520996094
USA,United States of America,Americas,331003000,3.29526686668396,1091000.0,24.53286232027338,66.66666412353516
URY,Uruguay,Americas,3474000,1.888077855110168,7000.0,27.36295777339049,56.41025543212891
UZB,Uzbekistan,Europe and Central Asia,33469000,7.440157890319824,249000.0,55.61295624326335,46.15384674072266
VUT,Vanuatu,Asia and the Pacific,307000,,,,25.64102554321289
VEN,Venezuela,Americas,28436000,9.482327461242676,270000.0,65.93537972493316,26.92307662963867
VNM,Viet Nam,Asia and the Pacific,97339000,4.067520141601563,396000.0,43.85915458554874,47.43589782714844
YEM,Yemen,Arab States,29826000,6.049450596413327,180000.0,89.17143037261243,
ZMB,Zambia,Africa,18384000,5.092990398406982,94000.0,58.14770101377757,44.87179565429688
ZWE,Zimbabwe,Africa,14863000,4.981103897094727,74000.0,74.78381284969208,26.92307662963867
