iso3,gdp_per_capita,population,urban_share,unemployment,youth_dep_ratio,gini,year
NIC,2138.38588469449,6644741,58.8592529296875,6.076,46.3935181431637,,2021
NLD,60141.9880911492,17533044,94.6294783220315,4.209,23.8807861681462,25.7,2021
NOR,93072.8925119571,5408320,82.8612877226956,4.359,26.1613022906715,26.9,2021
NPL,1252.75076731986,29475010,66.144235274522,12.241,45.5009112658793,30.0,2021
NRU,14979.099896799,11709,100.0,,64.3318501507105,,2021
NZL,49950.4251691316,5084600,83.8299382585905,3.776,28.975159107884,,2021
OED,43027.7494275706,1371785073,80.8557897295598,6.19603952385965,26.8014641980167,,2021
OMN,19403.4600160211,4500424,80.1239942103569,1.9,37.7946970332928,,2021
OSS,13717.0894877353,12541889,54.2199717949652,9.49668399234599,37.1192930523673,,2021
PAK,1455.31922370186,239477801,37.9333395514173,6.338,64.4007952670343,29.6,2021
PAN,15509.8069124139,4345405,65.8092302689169,10.177,39.7919608549134,50.9,2021
PER,6826.20255614477,33155882,83.9480118272361,5.097,38.0306341699685,40.3,2021
PHL,3484.38593882819,113100950,54.4504102510776,3.398,46.0999347647852,40.7,2021
PLW,13009.2481630213,17783,79.0890798782416,,26.8313930466461,,2021
PNG,2607.57861874444,10012896,14.4398342822353,3.03,55.1205723822279,,2021
POL,18635.5104895754,36981559,59.8096513205543,3.268,23.4264752303625,28.9,2021
PRE,1594.14229813292,1024960313,43.9651748532917,5.76542741642859,79.3895040540132,,2021
PRI,32619.0704601174,3262711,94.0550712597302,7.9,20.0509608584576,,2021
PRK,,26232534,62.926560562457,3.692,27.3577187032642,,2021
PRT,24711.4510062111,10361831,61.0951249296597,6.712,20.6808072078681,36.3,2021
PRY,5976.93179789949,6684182,67.3058612772421,7.311,44.7934833885474,44.6,2021
PSE,3678.63565662194,4922749,86.334956387337,26.39,68.0580461362208,,2021
PSS,3600.81254375167,2625493,39.6583318985728,3.35468526106548,55.7719279957905,,2021
PST,49855.2269396596,1116582773,80.8170538137498,5.80601878307517,24.2701974184063,,2021
PYF,21426.3854449835,279792,61.7399813226008,12.558,30.0143498588159,,2021
QAT,71751.9363398856,2504910,99.203408908243,0.14,18.6919562612343,,2021
ROU,14907.9803652143,19122059,52.2321512130811,5.59,24.9291569738603,32.3,2021
RUS,12425.029296875,144746762,74.7516840220252,4.749,26.6288739619444,33.9,2021
RWA,829.544845263697,13355260,26.1049092762833,15.775,66.9048512382529,,2021
SAS,2273.72055798689,1634785356,34.5086968655354,6.33048938390488,39.0566525039908,,2021
SAU,31920.7653655643,30784383,83.9716349986538,6.621,34.9241419897621,,2021
SDN,712.122009277344,48066924,34.6421563427994,11.087,73.8406256230027,,2021
SEN,1598.10676952274,17220867,52.2260292191155,3.436,70.1341297849447,36.2,2021
SGP,80056.1288247844,5453566,100.0,4.64,16.1021404995995,,2021
SLB,2043.44413170658,762591,28.6889396820578,0.879,65.3863642502769,,2021
SLE,885.396401885395,8094602,43.7345385973699,3.551,68.598731169323,35.7,2021
SLV,4642.60743101342,6255782,73.6838531494141,4.327,39.2439122505965,38.8,2021
SMR,54176.4798021628,34252,97.1035668453272,,19.8935842750978,,2021
SOM,549.056994756254,17271431,52.9060649733324,19.662,92.9482332241546,,2021
SRB,9680.52798074468,6834326,61.363899230957,9.843,22.4246201913474,32.8,2021
SSA,1885.48155965903,1076774079,44.978597249643,7.18509355059853,76.0513061464884,,2021
SSD,,10865780,20.4811115270532,13.95,74.876969428436,,2021
SSF,1785.46664916614,1199011925,42.6486975646522,6.84417115636911,75.4626023756517,,2021
SST,12428.6087674544,19646549,51.340072776001,8.82676059647369,38.5099157768111,,2021
STP,2362.58827248102,221961,68.1738967895508,9.563,69.2636470327021,,2021
SUR,5029.84838543953,617896,65.9853973388672,8.706,40.038132717481,39.2,2021
SVK,22123.3342114545,5447247,53.1901479870605,6.894,23.8027259337953,24.1,2021
SVN,29192.8401933019,2108079,55.3046289429588,4.744,23.5414429503015,24.3,2021
SWE,60647.5416365347,10415811,88.1741651958315,8.803,28.3978109129656,31.6,2021
SWZ,3984.00229174306,1206593,25.0156180525173,34.153,55.4843953491179,,2021
SXM,32548.4366854902,41571,100.0,,23.3928027353668,,2021
SYC,14982.9111487767,99258,44.6026796065539,,28.5358789787425,32.1,2021
SYR,663.614245706815,21628839,73.0125007629395,14.887,53.7813669018843,26.4,2021
TCA,27329.2885087196,45243,93.4467025398547,,22.5871759231281,,2021
TCD,946.358500208374,17828273,25.2312246423075,1.53,94.8511163899727,37.4,2021
TEA,10086.4176067356,2102350702,60.3208754851698,4.14006542894987,29.3169113515881,,2021
TEC,10014.5108823837,463104389,68.8680370709709,6.78803635122713,30.7982018082728,,2021
TGO,962.075187515872,8878379,42.3105904515122,2.344,71.789383117272,37.9,2021
THA,7057.20754802279,71727332,58.5087776184082,1.215,22.3295675652775,34.3,2021
TJK,896.748053372182,9966908,26.1991525151375,7.687,60.8212171124291,39.5,2021
TKM,5723.30227157906,7092043,47.0581410301711,4.458,48.8153220114299,,2021
TLA,8075.78816650564,633862610,80.621099914497,9.26330031941499,35.2692039000862,,2021
TLS,2684.92676774277,1350139,28.7927371734472,2.344,59.9817469749623,,2021
TMN,2746.96809945183,699536053,51.6735754616086,9.58930430798613,55.796875037688,,2021
TON,4922.80171378368,105490,21.258003897665,2.111,61.5461403767163,27.1,2021
TSA,2273.72055798689,1634785356,34.5086968655354,6.33048938390488,39.0566525039908,,2021
TSS,1785.46664916614,1199011925,42.6486975646522,6.84417115636911,75.4626023756517,,2021
TTO,17712.5674104655,1367558,53.9421278853848,4.446,26.2908121376977,,2021
TUN,3906.93926319391,12048622,69.3997523770568,16.632,37.5462528727998,33.7,2021
TUR,9981.76398411336,84147318,89.1762048153239,11.969,33.0443423061081,44.5,2021
TUV,5905.08198095343,10194,62.6098296425994,,50.5563391317975,,2021
TZA,1159.85656738281,62830412,34.3500111758619,1.876,80.1140132089043,40.5,2021
UGA,882.791717542504,45910930,29.2362957789022,3.416,84.1127394199539,42.7,2021
UKR,4775.94580078125,44298640,69.4027032653896,9.834,22.4470756964017,25.6,2021
URY,17881.818721099,3396695,95.4497146606445,9.328,29.8560332633863,40.6,2021
USA,70205.050916026,332099760,80.0074765140272,5.349,27.7547960619839,41.7,2021
UZB,2258.51964119278,34243696,50.9269905090332,5.364,46.8507465420305,31.2,2021
VCT,8641.27904024443,102841,47.4554100739049,20.356,32.9717248289984,,2021
VEN,2004.93397949792,28237826,89.1766444746891,7.027,42.7815450956107,,2021
VGB,,37809,53.972618684518,,21.9990823421452,,2021
VIR,42571.0777368471,105870,95.1604310610968,13.508,26.5693497320994,,2021
VNM,3704.1935590038,98935098,36.6540656426603,2.383,35.6284444879672,36.1,2021
VUT,3107.20312858002,305868,22.2501822422475,4.776,68.421082850089,32.3,2021
WLD,12390.6686716727,7920514854,56.8075140054202,6.0451914548011,39.4764377755795,,2021
WSM,4021.55934894283,213779,17.5672426452007,6.664,69.284482325558,,2021
XKX,5270.43236861018,1786079,46.4995789423362,,32.0878034447016,38.3,2021
YEM,,37140230,36.0704951256305,18.312,73.6803331465313,,2021
ZAF,6828.75624590017,61502603,63.4503925883909,34.007,39.6319124407365,54.1,2021
ZMB,1127.16077872857,19603607,44.2353731410926,5.197,77.592886856316,51.5,2021
ZWE,2613.60542083552,15797210,37.8692058859373,9.54,76.7868158677835,50.3,2021
