country,country_name,region,observed_prevalence_per_1k,vulnerability_total,govt_response_total,gdp_per_capita_log,population_log,urban_share,unemployment,gini,youth_dep_ratio,press_freedom_score,year,wgi_rule_of_law,wgi_government_effectiveness
ROU,Romania,Europe and Central Asia,7.549961566925049,25.88511146501303,57.69230651855469,9.609719019452168,16.766353200369704,52.2321512130811,5.59,32.3,24.9291569738603,75.09,2021,0.8994174153796778,0.7537434862402344
RUS,Russia,Europe and Central Asia,13.01579189300537,59.89323334347669,24.35897445678711,9.42754868832849,18.790496311473028,74.7516840220252,4.749,33.9,26.6288739619444,51.29,2021,0.194061803547393,-0.2502911867315589
RWA,Rwanda,Africa,4.252303600311279,52.93682500368358,50.0,6.722081925504843,16.407420947577464,26.1049092762833,15.775,34.2,66.9048512382529,49.34,2021,-0.7807926969126424,-0.9509340952512249
SAU,Saudi Arabia,Arab States,21.26152055941187,52.52693922776848,48.71794891357422,10.371043355973159,17.242518106382246,83.9716349986538,6.621,34.2,34.9241419897621,37.27,2021,1.431822136358786,2.115382190205693
SEN,Senegal,Africa,2.941902160644531,52.85804597239245,39.74359130859375,7.377200483289398,16.66163246219756,52.2260292191155,3.436,36.2,70.1341297849447,74.78,2021,-0.5645463856613391,-0.1957187895867665
SRB,Serbia,Europe and Central Asia,7.015529632568359,34.40828436312224,56.41025543212891,9.177975017064224,15.73746855950299,61.363899230957,9.843,32.8,22.4246201913474,67.97,2021,0.7930107361563627,0.479282450037532
SLE,Sierra Leone,Africa,3.402239561080933,55.3283512620345,33.33333206176758,6.787164256739964,15.906708101272343,43.7345385973699,3.551,35.7,68.598731169323,70.39,2021,-0.9897287802521264,-1.2919750746854013
SGP,Singapore,Asia and the Pacific,2.133502960205078,24.37726324845873,47.43589782714844,11.290495769110379,15.511780447963556,100.0,4.64,34.2,16.1021404995995,44.8,2021,2.1065811568357717,1.6032481919722967
SVK,Slovakia,Europe and Central Asia,7.651405811309814,16.3875057300348,57.69230651855469,10.004433377285704,15.510621084978716,53.1901479870605,6.894,24.1,23.8027259337953,76.98,2021,0.9213952872833722,0.8227485007009144
SVN,Slovenia,Europe and Central Asia,4.448514461517334,8.860574779786777,56.41025543212891,10.28171301371863,14.561288138587418,55.3046289429588,4.744,24.3,23.5414429503015,76.9,2021,0.5097033529322691,0.4691513541467992
SOM,Somalia,Africa,6.173291206359863,98.36658293844783,17.94871711730957,6.310021899687181,16.664564365040853,52.9060649733324,19.662,34.2,92.9482332241546,44.53,2021,-1.6844518983574976,-1.7393148888010048
ZAF,South Africa,Africa,2.662498235702515,52.19647760057009,52.56410217285156,8.829044263187154,17.934590073343788,63.4503925883909,34.007,54.1,39.6319124407365,78.41,2021,-0.2189006733295094,-0.5829829460178518
KOR,South Korea,Asia and the Pacific,3.502935409545898,28.60360372429959,38.46154022216797,10.532615104792185,17.76231250338371,81.1616526507785,3.639,32.9,16.4941683956095,76.57,2021,0.6825674486829059,1.0410242553891491
ESP,Spain,Europe and Central Asia,2.312372207641602,10.37075274872592,62.82051467895508,10.335285475132922,17.67505687433268,79.7846242983598,14.914,33.6,20.9847212712219,79.56,2021,1.2203594748401505,1.2338291627446645
